pair,target,confounder,method,rho,shot,metric,n_seeds,mean,std,ci95_low,ci95_high
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,auroc,5,0.5130975067615509,0.015165105883481694,0.4998047053661036,0.526390308156998
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,auprc,5,0.512062931060791,0.01896877230725391,0.4954360690439268,0.5286897930776553
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,brier,5,0.24984644651412963,0.0003155027505230221,0.24956989616000463,0.2501229968682546
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,ece,5,0.004681844636797905,0.006425328571927889,-0.0009502041773262375,0.010313893450922047
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,sms_raw_logit,5,0.041679193079471585,0.0016775251799505298,0.0402087774276275,0.043149608731315674
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,sms_fixed_reference,5,1.0873328924179078,0.01705954388704686,1.0723795428976493,1.1022862419381663
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,ranking_disagreement,5,0.5131553769111633,0.008351280710608328,0.505835156614867,0.5204755972074596
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,support_swap_flip_rate,5,0.010000000149011612,0.02236068010819799,-0.009600000143051146,0.029600000441074373
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,d0_auroc,5,0.5151399910449982,0.0341684454540222,0.4851900280904888,0.5450899539995077
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,d1_auroc,5,0.5100199937820434,0.03038695101237418,0.48338465684973453,0.5366553307143523
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,worst_nuisance_auroc,5,0.48931999802589415,0.02506974605769226,0.4673453967313405,0.5112945993204479
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,auroc,5,0.5288550019264221,0.019326536819708237,0.5119145454878021,0.5457954583650421
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,auprc,5,0.5285218715667724,0.02319861082749623,0.5081873926155855,0.5488563505179593
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,f1,5,0.6666674256324768,0.0015752809350431103,0.6652866310127459,0.6680482202522078
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,brier,5,0.24974828064441681,0.0009456026604684664,0.24891942336764006,0.25057713792119357
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,ece,5,0.018668543361127377,0.015625919603954996,0.004971820930534512,0.03236526579172024
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,sms_raw_logit,5,0.02336103618144989,0.0013483115677665536,0.022179188983862765,0.02454288337903702
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,sms_fixed_reference,5,1.1132306814193726,0.04719152708303885,1.0718654841116513,1.154595878727094
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,ranking_disagreement,5,0.5015739321708679,0.022048988322189683,0.4822471417752499,0.5209007225664858
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,support_swap_flip_rate,5,0.02850000113248825,0.039115215985514866,-0.005785997371605237,0.06278599963658174
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,d0_auroc,5,0.542739999294281,0.016717909202818976,0.5280861057779653,0.5573938928105966
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,d1_auroc,5,0.5148599922657013,0.03617821480461853,0.48314838880347655,0.5465715957279261
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,worst_nuisance_auroc,5,0.5097399890422821,0.027586642409488365,0.48555923082443303,0.5339207472601312
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,auroc,5,0.541745001077652,0.027759838817815893,0.5174124295143511,0.5660775726409529
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,auprc,5,0.5287289619445801,0.02694835080701284,0.5051076909844712,0.552350232904689
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,brier,5,0.24891251027584077,0.0016462202448909973,0.24746953460942384,0.2503554859422577
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,ece,5,0.013934734603390097,0.008811735053944185,0.0062109082798980034,0.02165856092688219
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,sms_raw_logit,5,0.017619945108890533,0.0010582776458182156,0.016692323852884286,0.01854756636489678
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,sms_fixed_reference,5,1.1028063297271729,0.0392582080406812,1.0683949931604864,1.1372176662938593
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,ranking_disagreement,5,0.4915125072002411,0.026751085967554676,0.46806414649564704,0.5149608679048352
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,support_swap_flip_rate,5,0.0,0.0,0.0,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,d0_auroc,5,0.5446400046348572,0.01968700806011818,0.527383581222821,0.5618964280468933
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,d1_auroc,5,0.5389599919319152,0.04079109987432264,0.5032050164310956,0.5747149674327349
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,worst_nuisance_auroc,5,0.5297199964523316,0.031617992742887006,0.5020056038669369,0.5574343890377262
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,auroc,5,0.5584300041198731,0.03182656025410011,0.530532794050354,0.5863272141893922
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,auprc,5,0.5453781962394715,0.03127982943409132,0.5179602168632945,0.5727961756156484
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,f1,5,0.6671126127243042,0.000997121272496398,0.6662385973930359,0.6679866280555725
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,brier,5,0.24744655787944794,0.0020002212595296304,0.24569328664255932,0.24919982911633656
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,ece,5,0.031047365069389342,0.010689285449619047,0.021677793262060287,0.04041693687671839
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,sms_raw_logit,5,0.013070939294993877,0.0005442714559335005,0.012593864329311283,0.01354801426067647
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,sms_fixed_reference,5,1.0897851467132569,0.014186936702780881,1.0773497484081742,1.1022205450183395
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,ranking_disagreement,5,0.4838546335697174,0.006367505530520795,0.47827326888608407,0.48943599825335077
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,support_swap_flip_rate,5,0.02449999935925007,0.045634415387834755,-0.01550032936964902,0.06450032808814915
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,d0_auroc,5,0.565120005607605,0.022778885222273604,0.5451534323706066,0.5850865788446034
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,d1_auroc,5,0.5517399907112122,0.056214656028195135,0.5024656721645736,0.6010143092578507
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,worst_nuisance_auroc,5,0.5374399900436402,0.04241984208247746,0.5002573590510797,0.5746226210362007
