partition,cache,model,source_grid,retained_grid,shot,metric,n_seeds,binary_minus_positive_mean,ci95_low,ci95_high
test,rad_dino,microsoft/rad-dino,14,4,1,auroc,10,0.016325005888938905,-0.0019327164076893173,0.034582728185567124
test,rad_dino,microsoft/rad-dino,14,4,1,auprc,10,0.010193717479705811,-0.01170246200737866,0.03208989696679028
test,rad_dino,microsoft/rad-dino,14,4,1,d0_auroc,10,0.02826000452041626,0.0019097220071193806,0.05461028703371314
test,rad_dino,microsoft/rad-dino,14,4,1,d1_auroc,10,0.0044299900531768795,-0.015068920056433828,0.023928900162787585
test,rad_dino,microsoft/rad-dino,14,4,1,worst_nuisance_auroc,10,0.010449999570846557,-0.009424310308614155,0.03032430945030727
test,rad_dino,microsoft/rad-dino,14,4,3,auroc,10,0.035087504982948305,0.015428055791152511,0.054746954174744095
test,rad_dino,microsoft/rad-dino,14,4,3,auprc,10,0.020623311400413513,-0.0015367982983001682,0.042783421099127195
test,rad_dino,microsoft/rad-dino,14,4,3,d0_auroc,10,0.051319995522499086,0.03089640903737503,0.07174358200762314
test,rad_dino,microsoft/rad-dino,14,4,3,d1_auroc,10,0.020810005068778992,-0.009014400410264748,0.050634410547822736
test,rad_dino,microsoft/rad-dino,14,4,3,worst_nuisance_auroc,10,0.02697000205516815,0.008610383391102254,0.04532962071923405
test,rad_dino,microsoft/rad-dino,14,4,5,auroc,10,0.040967509150505066,0.01851634361140677,0.06341867468960335
test,rad_dino,microsoft/rad-dino,14,4,5,auprc,10,0.03222706615924835,0.006736268663431348,0.05771786365506535
test,rad_dino,microsoft/rad-dino,14,4,5,d0_auroc,10,0.061390000581741336,0.04254458672203981,0.08023541444144286
test,rad_dino,microsoft/rad-dino,14,4,5,d1_auroc,10,0.020670008659362794,-0.015268636019112335,0.05660865333783792
test,rad_dino,microsoft/rad-dino,14,4,5,worst_nuisance_auroc,10,0.02933000326156616,-0.0008598117145427464,0.05951981823767507
test,rad_dino,microsoft/rad-dino,14,4,10,auroc,10,0.06363749504089355,0.037171953426084994,0.09010303665570212
test,rad_dino,microsoft/rad-dino,14,4,10,auprc,10,0.0515371173620224,0.02193808009990727,0.08113615462413754
test,rad_dino,microsoft/rad-dino,14,4,10,d0_auroc,10,0.09117999970912934,0.07530253343152546,0.10705746598673321
test,rad_dino,microsoft/rad-dino,14,4,10,d1_auroc,10,0.03652999699115753,-0.009300128176299279,0.08236012215861435
test,rad_dino,microsoft/rad-dino,14,4,10,worst_nuisance_auroc,10,0.04754000306129456,0.009005720340033066,0.08607428578255605
