pair,target,confounder,method,rho,shot,auroc,sms_fixed_reference,auroc_change,sms_reduction,pareto
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,1,0.5130975067615509,1.0873328924179078,0.0,0.0,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,3,0.5288550019264221,1.1132306814193726,0.0,0.0,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,5,0.541745001077652,1.1028063297271729,0.0,0.0,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,binary_protonet_random,,10,0.5584300041198731,1.0897851467132569,0.0,0.0,False
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,1,0.6157250046730042,1.0289595007896424,0.0,0.0,False
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,3,0.6326750040054321,1.0287745237350463,0.0,0.0,False
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,5,0.6673849940299987,0.9587758302688598,0.0,0.0,False
Edema__Cardiomegaly,Edema,Cardiomegaly,binary_protonet_random,,10,0.6959250092506408,0.9069579362869262,0.0,0.0,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,1,0.5146849989891052,0.5888266324996948,0.001587492227554388,0.45846700986823086,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,3,0.5354774951934814,0.587635588645935,0.006622493267059326,0.47213493262986805,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,5,0.5437874913215637,0.6111499011516571,0.0020424902439116766,0.44582300202896763,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.7,10,0.5627299904823303,0.6094376027584076,0.004299986362457209,0.4407727022189244,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,1,0.6255450010299682,0.5628644287586212,0.009819996356964067,0.45297708187089125,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,3,0.6492775082588196,0.5524148583412171,0.016602504253387496,0.46303602432180013,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,5,0.6807199954986572,0.5408851504325867,0.013335001468658514,0.4358585882573701,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.7,10,0.7126649856567383,0.524114578962326,0.01673997640609748,0.42211809611805795,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,1,0.517280000448227,0.412038516998291,0.004182493686676114,0.6210557779761092,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,3,0.5402399897575378,0.469505774974823,0.011384987831115745,0.578249339682049,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,5,0.5475100040435791,0.48953868746757506,0.00576500296592708,0.5560973180225727,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.7,10,0.567870020866394,0.48823114633560183,0.009440016746520952,0.5519932091127457,True
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,1,0.6271225094795227,0.4008269369602203,0.011397504806518577,0.6104541173363788,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,3,0.650992500782013,0.43855403661727904,0.0183174967765809,0.5737121920310835,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,5,0.6852750062942505,0.42410388588905334,0.017890012264251798,0.5576610585081956,False
Edema__Cardiomegaly,Edema,Cardiomegaly,full_iera,0.7,10,0.7126824855804443,0.4179496467113495,0.01675747632980351,0.5391741667508531,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.9,1,0.5169275104999542,0.8110419869422912,0.0038300037384033647,0.2540996482330512,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.9,3,0.5307825207710266,0.8150594830513,0.0019275188446045144,0.26784313740607957,False
