partition,pair,target,confounder,method,candidate,witness_fraction,gamma,shot,seed,metric,value
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,auroc,0.5330749750137329
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,auprc,0.5310009717941284
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,f1,0.6666666865348816
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,brier,0.24993349611759186
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,ece,0.007601797580718994
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,sms_raw_logit,0.01142091304063797
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,sms_fixed_reference,0.6236621737480164
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,ranking_disagreement,0.4932768642902374
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,support_swap_flip_rate,0.0
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,d0_auroc,0.5242000222206116
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,d1_auroc,0.5396999716758728
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,worst_nuisance_auroc,0.5242000222206116
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,border_max_fraction,0.29499998688697815
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,anchor_plus_relational_witness,anchor_plus_relational_witness|r=0.1|gamma=0.1,0.1,0.1,3,0,auroc,0.49576249718666077
