pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,auroc,0.41940000653266907
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,auprc,0.46880221366882324
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,brier,0.25062599778175354
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,ece,0.021624326705932617
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,false_positive_c0d1,0.5218673944473267
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,sms_raw_logit,0.07271242886781693
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,sms_normalized_logit,0.9390799403190613
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,support_swap_flip_rate,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,support_swap_error_gap,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,worst_support_panel_error,0.5
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,d0_auroc,0.438400000333786
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,d0_auprc,0.48876193165779114
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,d1_auroc,0.39320001006126404
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,d1_auprc,0.4567437767982483
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,worst_nuisance_auroc,0.39320001006126404
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,1,0,10.0,0.1,worst_nuisance_auprc,0.4567437767982483
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,auroc,0.4077000021934509
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,auprc,0.45992615818977356
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,f1,0.6666666865348816
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,brier,0.2506552040576935
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,ece,0.022308826446533203
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,false_positive_c0d1,0.5226753950119019
Pneumothorax__Support Devices,Pneumothorax,Support Devices,positive_prototype,3,0,10.0,0.1,sms_raw_logit,0.044019050896167755
