partition,pair,target,confounder,method,candidate,tau_support,tau_query,shot,metric,n_seeds,mean,std,ci95_low,ci95_high
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,auroc,5,0.5219824910163879,0.01451944254804367,0.5092556384875192,0.5347093435452567
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,auprc,5,0.5206834673881531,0.007295344460700421,0.5142888160238592,0.5270781187524469
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,f1,5,0.6668892741203308,0.0004977209720119962,0.6664530024528503,0.6673255457878113
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,brier,5,0.24958030879497528,0.0005760445381763809,0.24907538349476677,0.2500852340951838
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,ece,5,0.010899684112519025,0.012073877539270809,0.0003164638280305984,0.021482904397007452
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,sms_raw_logit,5,0.021586725488305092,0.00326262749243336,0.018726906399835548,0.024446544576774636
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,sms_fixed_reference,5,0.5850662350654602,0.07566921241771742,0.5187392459796644,0.651393224151256
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,ranking_disagreement,5,0.4921265780925751,0.014901924919351604,0.47906446498338995,0.5051886912017602
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,support_swap_flip_rate,5,0.007500000298023224,0.01677051049764861,-0.007200000286102293,0.02220000088214874
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,d0_auroc,5,0.5124199867248536,0.02214354778751138,0.4930103113034245,0.5318296621462827
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,d1_auroc,5,0.5313300013542175,0.015019306609450682,0.5181649986571892,0.5444950040512457
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,worst_nuisance_auroc,5,0.5093199968338012,0.02053087617997311,0.49132389040158925,0.5273161032660133
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,auroc,5,0.5146849989891052,0.017922472510787827,0.49897525918038005,0.5303947387978305
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,auprc,5,0.519204831123352,0.027628468237651572,0.4949874109506676,0.5434222512960365
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,f1,5,0.6668892741203308,0.0004977209720119962,0.6664530024528503,0.6673255457878113
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,brier,5,0.24981018900871277,0.0006665655887874363,0.24922591850926035,0.2503944595081652
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,ece,5,0.010814127139747142,0.010196867429110702,0.0018761787579614844,0.0197520755215328
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,sms_raw_logit,5,0.022668157517910004,0.0037148135101007407,0.01941197990924062,0.02592433512657939
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,sms_fixed_reference,5,0.5888266324996948,0.07184521275860366,0.5258515269019151,0.6518017380974745
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,ranking_disagreement,5,0.5113646745681762,0.018783464154380824,0.4949002423089428,0.5278291068274097
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,support_swap_flip_rate,5,0.0064999997615814206,0.014534441320628484,-0.006239999771118165,0.019239999294281006
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,d0_auroc,5,0.5192199885845185,0.04141209481874131,0.48292068701521246,0.5555192901538244
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,d1_auroc,5,0.5111599922180176,0.020885223640956737,0.49285328654172333,0.5294666978943118
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,1,worst_nuisance_auroc,5,0.4946199953556061,0.028435125317502776,0.46969550907741076,0.5195444816338014
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,3,auroc,5,0.537404990196228,0.016956625660131928,0.5225418524793597,0.5522681279130963
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,3,auprc,5,0.542052972316742,0.009221686288245047,0.533969807892926,0.550136136740558
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,3,f1,5,0.6675630569458008,0.0012274317200417445,0.6664871656064096,0.6686389482851919
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,current_adapter,current_adapter,,,3,brier,5,0.248894602060318,0.0007691476931595842,0.24822041438187434,0.24956878973876165
