method,seed,training_seed,step,train_loss,train_classification,train_invariance,train_budget_excess,validation_total,validation_classification,validation_invariance,validation_budget_excess,validation_uniform_reference,validation_worst_nuisance_auroc,validation_max_sms_budget_ratio,validation_sms_budget_satisfied
learned_uniform,0,2026,0,,,,,1.0399593710899353,1.0399593710899353,0.0,0.0,0.0,0.46880000829696655,0.0,1.0
learned_uniform,0,2026,25,0.7183220267295838,0.7183220267295838,0.0,0.0,0.7250716388225555,0.7250716388225555,0.0,0.0,0.0,0.6639999747276306,0.0,1.0
learned_uniform,0,2026,50,0.6761735308170319,0.6761735308170319,0.0,0.0,0.7181707918643951,0.7181707918643951,0.0,0.0,0.0,0.6240000128746033,0.0,1.0
learned_uniform,0,2026,75,0.7240406131744385,0.7240406131744385,0.0,0.0,0.7319876849651337,0.7319876849651337,0.0,0.0,0.0,0.6496000289916992,0.0,1.0
learned_uniform,0,2026,100,0.6749761879444123,0.6749761879444123,0.0,0.0,0.6492878794670105,0.6492878794670105,0.0,0.0,0.0,0.6639999747276306,0.0,1.0
learned_uniform,0,2026,125,0.5291448086500168,0.5291448086500168,0.0,0.0,0.6745465993881226,0.6745465993881226,0.0,0.0,0.0,0.6704000234603882,0.0,1.0
learned_uniform,0,2026,150,0.6198510217666626,0.6198510217666626,0.0,0.0,0.674705445766449,0.674705445766449,0.0,0.0,0.0,0.6543999910354614,0.0,1.0
learned_uniform,0,2026,175,0.5340336066484451,0.5340336066484451,0.0,0.0,0.6877459585666656,0.6877459585666656,0.0,0.0,0.0,0.6335999965667725,0.0,1.0
learned_uniform,0,2026,200,0.6252699440717697,0.6252699440717697,0.0,0.0,0.6579027771949768,0.6579027771949768,0.0,0.0,0.0,0.6704000234603882,0.0,1.0
learned_uniform,0,2026,225,0.6472799044847488,0.6472799044847488,0.0,0.0,0.6563574075698853,0.6563574075698853,0.0,0.0,0.0,0.6672000288963318,0.0,1.0
iera,0,2026,0,,,,,0.9680922627449036,0.9680922627449036,0.0,0.0,0.0,0.5856000185012817,0.0,1.0
iera,0,2026,25,0.7103697800636292,0.7103697800636292,0.0,0.0,0.7340492308139801,0.7340492308139801,0.0,0.0,0.0,0.6191999912261963,0.0,1.0
iera,0,2026,50,0.6848362010717391,0.6848362010717391,0.0,0.0,0.6590119004249573,0.6590119004249573,0.0,0.0,0.0,0.6431999802589417,0.0,1.0
iera,0,2026,75,0.6908903467655182,0.6908903467655182,0.0,0.0,0.6617619097232819,0.6617619097232819,0.0,0.0,0.0,0.6384000182151794,0.0,1.0
iera,0,2026,100,0.6597088599205017,0.6597088599205017,0.0,0.0,0.7187445759773254,0.7187445759773254,0.0,0.0,0.0,0.6208000183105469,0.0,1.0
iera,0,2026,125,0.58612080514431,0.58612080514431,0.0,0.0,0.6652976870536804,0.6652976870536804,0.0,0.0,0.0,0.651199996471405,0.0,1.0
iera,0,2026,150,0.5644439929723739,0.5644439929723739,0.0,0.0,0.690888524055481,0.690888524055481,0.0,0.0,0.0,0.5663999915122986,0.0,1.0
iera,0,2026,175,0.5829593610763549,0.5829593610763549,0.0,0.0,0.653773844242096,0.653773844242096,0.0,0.0,0.0,0.6304000020027161,0.0,1.0
iera,0,2026,200,0.643536838889122,0.643536838889122,0.0,0.0,0.7049843072891235,0.7049843072891235,0.0,0.0,0.0,0.5472000241279602,0.0,1.0
iera,0,2026,225,0.6580509966611863,0.6580509966611863,0.0,0.0,0.6692173182964325,0.6692173182964325,0.0,0.0,0.0,0.5759999752044678,0.0,1.0
iera,0,2026,250,0.6199253100156784,0.6199253100156784,0.0,0.0,0.6605577766895294,0.6605577766895294,0.0,0.0,0.0,0.6607999801635742,0.0,1.0
iera,0,2026,275,0.6485994374752044,0.6485994374752044,0.0,0.0,0.7047945857048035,0.7047945857048035,0.0,0.0,0.0,0.6320000290870667,0.0,1.0
iera,0,2026,300,0.5670875251293183,0.5670875251293183,0.0,0.0,0.6891302764415741,0.6891302764415741,0.0,0.0,0.0,0.6431999802589417,0.0,1.0
anchored_iera,0,2026,0,,,,,1.209072470664978,0.6487908065319061,1.9981122016906738,0.5602816343307495,2.0540436506271362,0.6687999963760376,1.4009076959709206,0.0
anchored_iera,0,2026,25,1.1891080576181412,0.5499283784627914,2.197211232315749,0.6391796844312921,1.2084743976593018,0.6487894654273987,1.9975154995918274,0.5596849322319031,2.0540436506271362,0.6687999963760376,1.4006501413154366,0.0
